FCH4_weekly,GPP,PA,TS,TA,P,WS,SWC
,0.38258,94619.875,271.8302612,267.0864258,4.378591198,2.544735432,0.258391559
,0.481985,95185.125,271.8122864,269.7222595,2.68370402,2.558056355,0.235403761
,0.6589425,95761.75781,272.0054626,275.3605347,5.253990181,2.456364393,0.288763374
,0.8718325,94248,272.1254578,273.5311584,2.220445778,2.701903105,0.268701971
,1.67678,95691.50781,272.2319946,274.3768921,1.047922648,3.260769129,0.285382003
,2.27157,96081.30469,272.3117676,277.0014954,0.650159374,2.546070814,0.322535068
,2.324365,95456.08594,274.2360229,280.9754639,4.690092523,2.476347208,0.345488638
,2.47030875,94939.875,278.3316956,279.1552429,5.298718344,3.12470746,0.287381649
,2.861485,96379.67969,281.3999023,282.6970215,1.977634383,2.363748789,0.245779261
,3.36845,95908.82031,286.5218811,287.9618225,7.154948078,1.660769105,0.255451828
,3.62418,95631.08594,289.9253845,290.8854065,1.463257591,1.851574898,0.231494665
,3.39257875,95915.46094,287.6853333,287.8316956,3.897760529,1.589269042,0.234424382
,3.74369,95623.14063,287.8373718,287.9980774,8.803508244,2.390843868,0.267533094
,3.74637625,95957.58594,289.0447388,289.5035095,1.795525895,2.155613661,0.228053942
,3.449865,95466.0625,289.0256958,289.2789917,3.594246926,1.878992438,0.218029052
5.560263506,3.45314375,95608.75781,288.9828186,289.4024048,6.977631245,1.71202302,0.258495927
5.061796617,3.38555,95705.64063,290.756897,291.1391296,3.428112483,1.810204387,0.244038492
7.083468403,3.01495625,96099.32813,290.0792236,289.4569092,1.321085496,1.826290369,0.209708288
9.671810882,2.527595,95243.32813,286.301178,285.6144714,4.696482327,1.991610646,0.236187726
11.2285506,2.2401075,94438.17188,282.417572,281.6727295,7.094244473,2.532253981,0.271434695
4.107664517,2.0044,95615.85156,284.6534119,284.3582764,4.546322394,2.592411518,0.256248325
8.99993928,1.70601625,96102.45313,282.0766907,281.3486633,6.004787516,2.34736681,0.261631876
6.389366911,1.341205,96285.00781,278.4916687,277.8423157,5.570284091,1.858535767,0.262993604
5.845024136,1.120685,95212.98438,281.4078064,281.3737183,2.402554033,2.327754498,0.252313346
,0.94847,95629,281.4617004,280.6114197,8.436095901,2.364826918,0.282180935
,0.8585375,94886.08594,276.2957764,275.2341919,8.586255834,3.275425434,0.282224327
,0.84209,96310.19531,278.0199585,277.6202087,11.20446529,2.281132936,0.294949353
,0.721815,96164.1875,273.9473877,271.9476013,7.084660232,2.382554293,0.282362908
,0.72955,94912.13281,271.3926392,267.6337585,11.14695705,2.853342772,0.270048678
,0.76749875,96038,272.389801,268.6704407,2.448880346,2.193536997,0.275302023
,0.701715,95163.30469,273.1520691,272.4596252,5.761977285,2.029305696,0.277427733
,0.72223625,95640.00781,272.512146,264.2897034,9.276351891,2.481681824,0.240716338
,0.77011,95913.39063,272.7441711,264.5130005,8.311496116,2.073755503,0.235153228
,0.7715475,95141.3125,273.0180054,269.931488,27.35142224,2.864427567,0.292457968
,0.74725,95262.13281,273.0276794,264.6878662,2.974438947,1.902093649,0.236069188
,0.7610975,95733.63281,272.8160095,260.8681946,1.341852127,2.877142668,0.226418346
,0.67239,95308.25,272.8480835,264.5860596,14.65103868,3.515269518,0.274171442
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0.512884615,101464.5391,270.2352905,246.568573,0.302886445,6.990964413,0.609975159
,0.499163462,101454.2734,270.0496521,243.2687988,0.281544839,5.847774982,0.60911268
,0.497146635,101056.2578,270.0711975,247.9787903,0.853663718,7.545043945,0.608533978
,0.46425,100992.0234,270.1289063,245.6360626,1.548907137,8.487346649,0.6079337
,0.433860577,101679.2969,270.051239,242.9299774,0.39317779,5.639648914,0.607248247
,0.384778846,101456.9141,270.0148926,245.1797943,0.573760481,5.18434763,0.606787384
,0.33946875,101888.3125,269.9418335,242.721344,0.517123204,5.793426514,0.606344879
,0.313355769,102165.2031,269.820282,242.6199646,0.067308094,5.7422328,0.606101096
,0.30890625,101705.8125,269.9512634,249.0206451,0.148570311,6.13256979,0.605925739
,0.270028846,101308.3906,270.2008057,255.462326,0.452277571,4.984447956,0.605491579
,0.136699519,100892.1094,270.0352173,254.7093506,0.245428324,4.614924431,0.604795337
,0.139711538,101488.1406,270.4325867,263.6377258,3.238996956,6.027020931,0.606773973
,0.017463942,101856.3984,270.132843,253.8357086,1.294449554,5.363300323,0.620090127
,0,101984.7031,270.3573914,263.6542969,0.344748783,3.676425457,0.618242562
,0,101352.1016,270.6927795,266.6846008,2.330337418,6.548557758,0.650481224
,0,102241.7031,270.2406616,260.4183655,0.501527451,3.90039587,0.653733194
,0,102589.8828,270.4182129,266.9064331,0.041041523,4.197135448,0.675914586
,0.020379808,102610.4141,270.6803589,267.4811096,0.66651433,5.53432703,0.714335859
,0.122552885,100700.7734,275.2831726,280.315094,1.416753628,5.667358875,0.72627604
,0.409788462,101169.7031,274.8735657,273.9232178,2.719411161,8.015630722,0.668204129
,0.513257212,101344.9219,275.6023254,273.809906,4.017965402,6.386257172,0.659160197
,0.651701923,100576.6797,277.8514404,277.0919495,10.01495309,5.656411171,0.707947075
